אֵב	ev
אַבָּא	aba
אָבֹב	avov
אֲבַגְתָא	avagta
אָבַד	avad
אָבֵד	aved
אִבֵּד	ibed
אֲבֵדָה	aveda
אֲבַדּוֹן	avadon
אָבְדָּן	ovdan
אָבְדָּנִי	ovdani
אָבָה	ava
אָבוּד	avud
אִבּוּד	ibud
אֵבוּז	evuz
אֲבוֹי	avoy
אִבּוּל	ibul
אֶבוֹלוּצְיָה	evolutzya
אִבּוּלִים	ibulim
אֵבוּס	evus
אֲבוּקָה	avuka
אָבוֹת	avot
אֲבוֹתֵיכֶם	avotechem
אַבְזָקָא	avzaka
אַבְזָקָה	avzaka
אַבְזָקַת	avzakat
אַבְזָר	avzar
אִבְזֵר	ivzer
אֻבְזַר	uvzar
אִבְחָה	ivkha
אִבְחוּן	ivkhun
אִבְחֵן	ivkhen
אֻבְחַן	uvkhan
אֶבְטַח	evtakh
אִבְטֵחַ	iveakh
אִבְטֵחַ	ivteakh
אֻבְטַח	uvtakh
אֲבַטִּיחַ	avatiakh
אַבְטִיחַ	avtiakh
אֲבַטִּיחִים	avatikhim
אַב־טִיפּוּס	av tipus
אַבְטָלָה	avtala
אָבִי	avi
אֲבִי	avi
אָבִי	avi
אָבִיב	aviv
אָבִּיגָ'אן	abidjan
אֲבִיגַיִל	avigayil
אֲבִיהֶן	avihen
אֲבִי הָעֶזְרִי	avi haezri
אֲבִיּוֹנָה	aviyona
אָבִיךְ	avich
אָבִיךָ	avicha
אַבִּיר	abir
אַבִּירִים	abirim
אֲבִישָׁלוֹם	avishalom
אֹבֶךְ	ovekh
אָבַל	aval
אֲבָל	aval
אֶבֶן	even
אַבְנֵט	avnet
אַבְנֵטִים	avnetim
אַבְנָן	avnan
אַבְנֵר	avner
אָבַס	abas
אַבְּסוּרְד	absurd
אֲבַעְבּוּעָה	avabua
אֲבַעְבּוּעוֹת רוּחַ	avabuot ruakh
אָבָץ	avatz
אָבָק	avak
אֶבֶק	evek
אַבְקָה	avka
אַבְקָן	avkan
אָבַר	avar
אֵבֶר	ever
אַבְרָהָם	avraham
אַבְרָם	avram
אַבְשָׁלוֹם	avshalom
אֲבֹתֵיכֶם	avotechem
אֲבֹתָם	avotam
אַגַּב	agav
אַגָּדָה	aggadah
אֲגֻדָּה	aguda
אֲגֻדַּת	agudat
אֲגוּדָל	agudal
אֱגוֹז	egoz
אֱגוֹז אֲדָמָה	egoz adama
אֲגוֹרָה	agora
אֲגַם	agam
אַגַּן יַם תִּיכוֹן	agan yam tichon
אַגָּס	agas
אַגָּסִים	agasim
אָגַר	agar
אֶגְרוֹל	egrol
אֶגרוֹף	egrof
אִגְרוּף	igruf
אִגְרוּף תַּיְלַנְדִּי	igruf tailandi
אִגֶּרֶת חוֹב	igeret khov
אֵד	ed
אֱדוֹם	edom
אָדוֹן	adon
אֲדוֹנֵי	adone
אֲדוֹנִי	adoni
אַדִּיר	addir
אֲדִישׁוּת	adishut
אדלשטיין	edelshtein
אָדָם	adam
אָדֹם	adom
אָדֹם	adom
אֹדֶם	odem
אֲדַמְדַּם	adamdam
אֲדָמָה	adama
אַדְמַת	admat
אֶדֶן	eden
אֲדֹנָי	adonai
אֲדֹנָי	adonay
אֲדֹנָי	athonoy
אֲדָר	adar
אֵדֶר	eder
אֶדֶר	eder
אַדְּרַבָּא	adraba
אַדְּרַבָּה	adraba
אַדְרִיכָל	adrikhal
אַדְרִיכָלוּת	adrikhalut
אַדֶּרֶת	aderet
אָדַשׁ	adash
אָהַב	ahav
אַהֲבָה	ahava
אָהוּב	ahuv
אֶהְיֶה	ehye
אָהַל	ahal
אָהָל	ahal
אִהֵל	ihel
אֹהֶל	ohel
אַהֲרֹן	aharon
אוֹ	o
אוֹבְּיֶקְטִיבִי	obyektivi
אוֹבָלִי	ovali
אוֹגוּסְט	ogust
אוֹגֵר	oger
אוּד	ud
אִוָּה	iva
אוֹהֵב	ohev
אוֹהָיוֹ	ohayo
אַוָּז	avaz
אוּזְבֶּקִית	uzbekit
אֲוָזוֹן	avazon
אוֹחַ	oakh
אוֹטוֹ	oto
אוֹטוֹבּוּס	otobus
אוֹטוֹבּוּסִים	otobusim
אוּטוֹפְּיָה	utopiya
אוֹטִיזְם	otizm
אוֹיֵב	oyev
אוֹי וַאֲבוֹי	oy vaavoy
אֲוִיר	avir
אֲוִירָה	avira
אֲוִירוֹן	aviron
אוֹכֵל‏	okhel
אוּלַי	ulai
אוֹלִיגַרְךְ	oligarkh
אוֹלִימְפִּי	olimpi
אוּלָם	ulam
אוֹמֵן	omen
אוֹמֵר	omer
אוֹמְרִים	omrim
אוֹן	on
אוּנִיבֶרְסִיטָה	universita
אוֹנֵן	onen
אוֹנֵנה	onena
אוֹנָנוּת	onanut
אוננים	unanim
אוּנֶסכּ״וֹ	unesko
אוֹסְטְרָלִי	ostrali
אוֹסְטְרַלְיָה	ostralya
אוֹסְטְרָלִית	ostralit
אוֹפָה	ofa
אוֹפֶה	ofe
אוֹפּוֹזִיצְיָה	opozitsya
אוֹפְּטִימָלִי	optimali
אוֹפַן	ofan
אוֹפַנּוֹעַ	ofanoa
אוֹפַנּוֹעִים	ofanoim
אוֹפַנַּיִם	ofanayim
אוֹפַנִּים	ofanim
אוֹפּצִיָה	optzia
אוּץ	uts
אוֹצִיא	otsi
אוֹצָר	otsar
אוֹצֵר	otser
אוֹצְרוֹת	otsrot
אוֹקְטוֹבֶּר	oktober
אוֹקֵי	okey
אוֹקְיָנוֹס	oqyanos
אוֹקְיָנוֹס הַקֶּרַח הַצְּפוֹנִי	okyanos hakerakh hatsfoni
אוּקְרָאִינָה	ukraina
אוֹר	or
אוֹרְגַּזְמָה	orgazma
אוֹרְגַּזְמוֹת	orgazmot
אוֹרֶגָנוֹ	oregano
אוֹרְגָּנִי	organi
אוֹרְגָּנִיזְם	organizm
אוֹרְגָּנִיזַצְיָה	organizatzya
אוֹרָה	ora
אוֹרוֹן	oron
אוֹרֵז	orez
אוֹרֵחַ	oreakh
אוֹרִי	ori
אוּרִי	uri
אוֹרִיגָמִי	origami
אוּרִיָּה	uriya
אוּרָנוּס	uranus
אוּרַנְיוּם	uranyum
אוֹת	ot
אוֹתָהּ	otah
אוֹתוֹ	oto
אוֹתוֹת	otot
אוֹתִי	oti
אוֹתִיּוֹת	otiyot
אוֹתְךָ	otkha
אוֹתֶנְטִי	otenti
אוֹתֵת	otet
אָז	az
אֵזוֹר	ezor
אִזְכֵּר	izker
אֻזְכַּר	uzkar
אָזַל	azal
אָזְלַת יָד	azlat yad
אִזְמֵל	izmel
אֹזֶן	ozen
אַזְעָקָה	azaka
אֶזְרָח	ezrakh
אֶזְרָחוּת	ezrakhut
אֶזְרָחִי	ezrakhi
אָח	akh
אָח	akh
אֶחָד	ekhad
אִחֵד	ikhed
אֻחַד	ukhad
אַחַד עָשָׂר	akhad asar
אַחֲוָה	akhava
אָחוּז	akhuz
אֲחוּזִים	akhuzim
אִחוּר	ikhur
אָחוֹת	akhot
אָחַז	akhaz
אָחָז	akhaz
אַחְזָקָה	akhzaka
אֲחִי	akhi
אָחִי	akhi
אָחִיו	achiv
אֶחָיו	echav
אֲחָיוֹת	akhayot
אחייניות	akhyaniyot
אַחִים	akhayim
אַחְיָן	akhyan
אַחְיָנִית	akhyanit
אַחְלָמָה	akhlama
אַחַר	achar
אחר	achar
אַחֵר	acher
אִחֵר	icher
אַחֲרוֹן	acharon
אַחֵרוֹת	akherot
אַחֲרַי	akharay
אַחֲרֵי	akhare
אַחֲרָיוּת	akharayut
אַחֵרִים	akherim
אַחַר כָּךְ	akhar kakh
אַחַר־כָּךְ	akhar-kakh
אַחֶרֶת	acheret
אֲחַשְׁוֵרוֹשׁ	akhashverosh
אַחַת	akhat
אֲחֹתוֹ	achoto
אַחַת עֶשְׂרֵה	akhat esre
אַט	at
אַט אַט	at at
אָטוֹם	atom
אָטוּם	atum
אָטוֹמִי	atomi
אֵטִימוֹלוֹגְיָה	etimologya
אֵטִימוֹלוֹגְיוֹת	etimologyot
אִטְלִיז	itliz
אַטְמוֹסְפֶרָה	atmosfera
אִטְרִיָּה	itriya
־ַאי	-ai-ai-ay
אֵי	e
אִי	i
־אִי	-iy
אֵיבָר	eivar
אִידֵאָל	ideal
אִידִישׁ	idish
אִידִישָׁאִי	idisai
אַיָּה	aya
אַיָּה	aya
אַיֵּה	aye
אַיּוֹ	ayo
אִיּוֹב	iyov
אי־ודאות	i-vadaut
אִיּוּם	iyum
אִיזֶבֶל	izevel
אֵיזֶה	eize
אֵיזוֹ	eizo
אִיחוּד	ikhud
אִיטַלְיָה	italiya
אִיטַלְקִי	italki
אִיטַלְקִית	italkit
אִיִּים	iyim
אֵיךְ	eykh
אֵיכָה	eikha
אֵיכוּת	eikhut
אִיכְתִּיּוֹלוֹגְיָה	ikhtiyolohiya
אַיָּל	ayal
אַיִל	ayil
אֱיָל	eyal
אֱיָל	eyal
אֵילוּ	eylu
אֵילִים	elim
אִילָן	ilan
אִילָנוֹת	ilanot
אִילָנֵי	ilane
אֵילַת	eilat
אָיֹם	ayom
אִיֵּם	iyem
אִימוּנוֹלוֹגְיָה	imunologia
אֵימָתַי	eimatay
אַיִן	ayin
אֵין	ein
אֵין בְּעַד מָה	ein bad ma
אֵין דָּבָר הָעוֹמֵד בִּפְנֵי הָרָצוֹן	ein davar haomed bfnei haratzon
אֵין דִּין וְאֵין דַּיָּן	ein din vein dayan
אֵין דִּין וְאֵין דַּיָּן	ein din vein dayan
אֵין מַצָּב	en matsav
אֵין עָשָׁן בְּלִי אֵשׁ	ein ashan bli esh
אִינְדּוֹנֶזְיָה	indonezya
אִינְדּוֹנֶזִית	indonezit
אֵינָהּ	einah
אֵינוֹ	eino
אִי נוֹחוּת	i-nokhut
אִינְטֶלִיגֶנְטִי	inteligenti
אִינְטֶלִיגֶנְצְיָה	inteligentsya
אִינְטֶלִיגֶנְצְיָה מְלָאכוּתִית	inteligentsya melakhutit
אִינְטֶרְנֶט	internet
אֵינֵךְ	einekh
אֵינְךָ	einkha
אֵינָם	einam
אֵינָן	einan
אֵינְסוֹף	einsof
אֵינְסוֹפִי	einsofi
אִינְפוֹרְמַצְיָה	informatsya
אִינְפְלַצְיָה	inflatsya
אֵיפָה	eifa
אֵיפֹה	eifo
אִיָּר	iyar
אִירָאן	iran
אִירָאנִי	irani
אֵירוֹפָּה	eiropa
אִישׁ	ish
אִישׁוֹן	ishon
אִישּׁוּר	ishur
אִישִׁי	ishi
אִישִׁיּוּת	ishiyut
אִיֵּת	iyet
אֻיַּת	uyat
אֵיתָן	etan
אַךְ	akh
אַכַּד	akad
אַכַּדִּי	akadi
אַכַּדִּית	akadit
אִכְזֵב	ikhzev
אַכְזָבָה	akhzava
אַכְזָרִי	achzari
אָכַל	akhal
אִכֵּל	ikel
אֹכֶל	okhel
אֻכַּל	ukal
אֻכָּל	ukal
אָכְלָה	okhla
אֻכְלוּסִין	ukhlusin
אַל	al
אֵל	el
אֶל	el
אֶלָּא	ela
אָלְבּוּם	album
אָלְבּוּמִים	albumim
אַלְבָּנִי	albani
אַלְבַּנְיָה	albanya
אַלְבָּנִית	albanit
אֵלָה	ela
אֵלָה	ela
אֵלֶּה	ele
אֱלֹהַי	elohai
אֱלֹהֵיך	eloheykh
אֱלֹהֵיכֵם	eloheykhem
אֱלֹהִים	elohim
אֱלֹהֵינוּ	eloheynu
אֲלֵהֶם	alehem
אֵלָו	elav
אֵלּוּ	elu
אִלּוּ	ilu
אֱלוֹהַּ	eloah
אֱלוּל	elul
אָלוּמִינְיוּם	aluminyum
אַלּוֹן	alon
אַלּוּנְקָה	alunka
אַלּוּף	aluf
אִלּוּץ	iluts
אַלְטֶע זַאכֶן	alte zakhen
אֵלַי	elay
אֱלֵי	ele
אֱלִי	eli
אֵלִי	eli
אֻלַי	ulay
אֵלֶיהָ	eleha
אֵלִיָּהוּ	eliyahu
אֲלֵיהֶם	alehem
אֲלֵיהֶן	alehen
אֵלָיו	elav
אֵלַיִךְ	elayikh
אֲלֵיכֶם	alechem
אַלִּימוּת	alimut
אֱלִיעֶזֶר	eliezer
אֱלִישֶׁבַע	elisheva
אֵלֵךְ	elech
אֵלְכָה	elchaattention
אַלְכּוֹהוֹל	alkohol
אַלְכִּימְיָה	alkimia
אִלֵּם	ilem
אֻלָם	ulam
אַלְמוֹג	almog
אַלְמָן	alman
אַלְמָנָה	almana
אַלְמָנוֹת	almanot
אַלְמְנוּת	almnut
אֶלְעָד	elad
אֶלְעָזָר	elazar
אָלֶ״ף	alef
אָלֶף	alef
אֶלֶף	elef
אִלֵּף	ilef
אַלְפָא	alfa
אָלֶפְבֵּית	alefbet
אֲלָפִים	alafim
אֻלְפָּן	ulpan
אֶלֶקְטְרוֹן	elektron
אֱלֹקִים	elokim
אַל־רֵיחַ	al-reakh
אִלְתּוּר	iltur
אֵם	em
אִם	im
אֵם קְרִיאָה	em kria
אִמָּא	imma
אָמַד	amad
אַמָּה	ama
אָמָה	ama
אִמָּה	ima
אֻמָּה	uma
אַמְהָרִית	amharit
אִמּוֹ	imo
אֵמוּן	emun
אֱמוּנָה	emuna
אֱמוּנוֹת	emunot
אֱמוּנָתְךָ	emunatkha
אִמּוּץ	imuts
אָמוֹק	amok
אָמוֹרָא	amora
אֲמִירָה	amira
אָמֵן	amen
אָמָּן	oman
אֻמַּן	uman
אֻמָּן	uman
אַמְנוֹן	amnon
אַמְנוּן	amnun
אָמָּנוּת	omanut
אֻמָּנוּת	umanut
אָמָּנוּת הַבָּמָה	omanut habama
אָמָּנוּת מוֹדֶרְנִית	omanut modernit
אָמָּנוּת עַכְשָׁוִית	omanut akhshavit
אֱמֻנַת	emunat
אַמְסְטֶרְדָּם	amsterdam
אַמְפֶּר	amper
אָ‏מְפֵּ‏רְסָ‏נְד	ampersand
אֶמְפַּתְיָה	empatia
אִמֵּץ	imets
אֹמֶץ	omets
אֻמַּץ	umats
אָמַר	amar
אִמֵּר	imer
אֹמֶר	omer
אָמֶרִיקָאִי	amerikai
אָמֶרִיקָאִית	amerikait
אָמֶרִיקָה	amerika
אָמֶרִיקָנִי	amerikani
אָמֶרִיקָנִית	amerikanit
אֶמֶשׁ	emesh
אֱמֶת	emet
אֲמִתִּי	amiti
אָנָּא	ana
אָנָאלִי	anali
אַנְגְּלִי	angli
אַנְגְּלִיָּה	angliya
אַנְגְּלִית	anglit
אָנָּה	ana
אָנָה	ana
אָנוּ	anu
אָנוֹכִי	anokhi
אָנוֹכִיּוּת	anochiyut
אָנוֹנִימִי	anonimi
אָנוּס	anus
אָנוּס	anus
אִנּוּס	inus
אָנוּשׁ	anush
